244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	TextStim: opacity = None
244.0404 	EXP 	Set debugText opacity=0.0
244.0404 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: central
cue_side: right
244.0404 	EXP 	Rect: pos = None
244.0404 	EXP 	Set cue pos=[ 8.  0.]
244.0404 	EXP 	Rect: pos = None
244.0404 	EXP 	Set target pos=[ 0.  0.]
244.0404 	EXP 	Rect: opacity = None
244.0404 	EXP 	Set target opacity=1.0
244.0404 	EXP 	TextStim: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.0404 	EXP 	Rect: autoDraw = None
244.5421 	EXP 	Rect: autoDraw = None
244.5561 	EXP 	Rect: autoDraw = None
244.6562 	EXP 	Rect: autoDraw = None
245.0585 	EXP 	Rect: autoDraw = None
246.0046 	EXP 	New trial (rep=0, index=6): {u'target_side': u'central', u'target_time': 350, u'cue_side': u'right'}
246.0289 	EXP 	TextStim: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	TextStim: opacity = None
246.0289 	EXP 	Set debugText opacity=0.0
246.0289 	EXP 	Set debugText text=targetStart: 0.85
target_time: 350
target_side: central
cue_side: right
246.0289 	EXP 	Rect: pos = None
246.0289 	EXP 	Set cue pos=[ 8.  0.]
246.0289 	EXP 	Rect: pos = None
246.0289 	EXP 	Set target pos=[ 0.  0.]
246.0289 	EXP 	Rect: opacity = None
246.0289 	EXP 	Set target opacity=1.0
246.0289 	EXP 	TextStim: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.0289 	EXP 	Rect: autoDraw = None
246.5183 	DATA 	Keypress: space
246.5300 	EXP 	Rect: autoDraw = None
246.6585 	EXP 	Rect: autoDraw = None
246.8590 	EXP 	Rect: autoDraw = None
247.3593 	EXP 	Rect: autoDraw = None
247.4737 	DATA 	Keypress: space
248.0019 	EXP 	New trial (rep=0, index=7): {u'target_side': u'none', u'target_time': 200, u'cue_side': u'left'}
248.0274 	EXP 	TextStim: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	TextStim: opacity = None
248.0274 	EXP 	Set debugText opacity=0.0
248.0274 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: none
cue_side: left
248.0274 	EXP 	Rect: pos = None
248.0274 	EXP 	Set cue pos=[-8.  0.]
248.0274 	EXP 	Rect: pos = None
248.0274 	EXP 	Set target pos=[ 0.  0.]
248.0274 	EXP 	Rect: opacity = None
248.0274 	EXP 	Set target opacity=0.0
248.0274 	EXP 	TextStim: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.0274 	EXP 	Rect: autoDraw = None
248.5283 	EXP 	Rect: autoDraw = None
248.6589 	EXP 	Rect: autoDraw = None
248.7068 	EXP 	Rect: autoDraw = None
249.2060 	EXP 	Rect: autoDraw = None
250.0034 	EXP 	New trial (rep=0, index=8): {u'target_side': u'none', u'target_time': 50, u'cue_side': u'left'}
250.0264 	EXP 	TextStim: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	TextStim: opacity = None
250.0264 	EXP 	Set debugText opacity=0.0
250.0264 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: none
cue_side: left
250.0264 	EXP 	Rect: pos = None
250.0264 	EXP 	Set cue pos=[-8.  0.]
250.0264 	EXP 	Rect: pos = None
250.0264 	EXP 	Set target pos=[ 0.  0.]
250.0264 	EXP 	Rect: opacity = None
250.0264 	EXP 	Set target opacity=0.0
250.0264 	EXP 	TextStim: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.0264 	EXP 	Rect: autoDraw = None
250.5273 	EXP 	Rect: autoDraw = None
250.5583 	EXP 	Rect: autoDraw = None
250.6588 	EXP 	Rect: autoDraw = None
251.0603 	EXP 	Rect: autoDraw = None
251.0641 	DATA 	Keypress: space
252.0041 	EXP 	New trial (rep=0, index=9): {u'target_side': u'left', u'target_time': 50, u'cue_side': u'left'}
252.0352 	EXP 	TextStim: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	TextStim: opacity = None
252.0352 	EXP 	Set debugText opacity=0.0
252.0352 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: left
cue_side: left
252.0352 	EXP 	Rect: pos = None
252.0352 	EXP 	Set cue pos=[-8.  0.]
252.0352 	EXP 	Rect: pos = None
252.0352 	EXP 	Set target pos=[-8.  0.]
252.0352 	EXP 	Rect: opacity = None
252.0352 	EXP 	Set target opacity=1.0
252.0352 	EXP 	TextStim: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.0352 	EXP 	Rect: autoDraw = None
252.5363 	EXP 	Rect: autoDraw = None
252.5606 	EXP 	Rect: autoDraw = None
252.6604 	EXP 	Rect: autoDraw = None
253.0429 	DATA 	Keypress: space
253.0599 	EXP 	Rect: autoDraw = None
254.0020 	EXP 	New trial (rep=0, index=10): {u'target_side': u'left', u'target_time': 200, u'cue_side': u'right'}
254.0276 	EXP 	TextStim: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	TextStim: opacity = None
254.0276 	EXP 	Set debugText opacity=0.0
254.0276 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: left
cue_side: right
254.0276 	EXP 	Rect: pos = None
254.0276 	EXP 	Set cue pos=[ 8.  0.]
254.0276 	EXP 	Rect: pos = None
254.0276 	EXP 	Set target pos=[-8.  0.]
254.0276 	EXP 	Rect: opacity = None
254.0276 	EXP 	Set target opacity=1.0
254.0276 	EXP 	TextStim: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.0276 	EXP 	Rect: autoDraw = None
254.5288 	EXP 	Rect: autoDraw = None
254.6588 	EXP 	Rect: autoDraw = None
254.7070 	EXP 	Rect: autoDraw = None
255.0036 	DATA 	Keypress: space
255.2060 	EXP 	Rect: autoDraw = None
256.0023 	EXP 	New trial (rep=0, index=11): {u'target_side': u'central', u'target_time': 50, u'cue_side': u'left'}
256.0274 	EXP 	TextStim: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	TextStim: opacity = None
256.0274 	EXP 	Set debugText opacity=0.0
256.0274 	EXP 	Set debugText text=targetStart: 0.55
target_time: 50
target_side: central
cue_side: left
256.0274 	EXP 	Rect: pos = None
256.0274 	EXP 	Set cue pos=[-8.  0.]
256.0274 	EXP 	Rect: pos = None
256.0274 	EXP 	Set target pos=[ 0.  0.]
256.0274 	EXP 	Rect: opacity = None
256.0274 	EXP 	Set target opacity=1.0
256.0274 	EXP 	TextStim: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.0274 	EXP 	Rect: autoDraw = None
256.5286 	EXP 	Rect: autoDraw = None
256.5564 	EXP 	Rect: autoDraw = None
256.6592 	EXP 	Rect: autoDraw = None
256.8630 	DATA 	Keypress: space
257.0593 	EXP 	Rect: autoDraw = None
258.0018 	EXP 	New trial (rep=0, index=12): {u'target_side': u'right', u'target_time': 50, u'cue_side': u'right'}
258.0334 	EXP 	TextStim: autoDraw = None
