11.5228 	EXP 	TextStim: useShaders = None
11.5228 	EXP 	TextStim: depth = None
11.5228 	EXP 	TextStim: ori = None
11.5228 	EXP 	TextStim: pos = None
11.5228 	EXP 	TextStim: colorSpace = None
11.5228 	EXP 	TextStim: opacity = None
11.5228 	EXP 	Set experimentEndText text=
11.5228 	EXP 	TextStim: contrast = None
11.5228 	EXP 	TextStim: autoDraw = None
318.0800 	DATA 	Keypress: space
318.1021 	EXP 	Imported ior-design.xlsx as conditions, 24 conditions, 3 params
318.1036 	EXP 	Created sequence: random, trialTypes=24, nReps=1, seed=0
318.1052 	EXP 	New trial (rep=0, index=0): {u'target_side': u'left', u'target_time': 350, u'cue_side': u'left'}
318.1496 	EXP 	TextStim: autoDraw = None
318.1496 	EXP 	TextStim: opacity = None
318.1496 	EXP 	Set debugText opacity=0.0
318.1496 	EXP 	Set debugText text=targetStart: 0.85
target_time: 350
target_side: left
cue_side: left
318.1496 	EXP 	Rect: pos = None
318.1496 	EXP 	Set cue pos=[-8.  0.]
318.1496 	EXP 	Rect: pos = None
318.1496 	EXP 	Set target pos=[-8.  0.]
318.1496 	EXP 	Rect: opacity = None
318.1496 	EXP 	Set target opacity=1.0
318.1496 	EXP 	TextStim: autoDraw = None
318.1496 	EXP 	Rect: autoDraw = None
318.1496 	EXP 	Rect: autoDraw = None
318.1496 	EXP 	Rect: autoDraw = None
318.6437 	EXP 	Rect: autoDraw = None
318.7620 	EXP 	Rect: autoDraw = None
318.9590 	EXP 	Rect: autoDraw = None
319.4065 	DATA 	Keypress: space
319.4599 	EXP 	Rect: autoDraw = None
320.0819 	EXP 	New trial (rep=0, index=1): {u'target_side': u'central', u'target_time': 200, u'cue_side': u'right'}
320.1199 	EXP 	TextStim: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	TextStim: opacity = None
320.1199 	EXP 	Set debugText opacity=0.0
320.1199 	EXP 	Set debugText text=targetStart: 0.7
target_time: 200
target_side: central
cue_side: right
320.1199 	EXP 	Rect: pos = None
320.1199 	EXP 	Set cue pos=[ 8.  0.]
320.1199 	EXP 	Rect: pos = None
320.1199 	EXP 	Set target pos=[ 0.  0.]
320.1199 	EXP 	Rect: opacity = None
320.1199 	EXP 	Set target opacity=1.0
320.1199 	EXP 	TextStim: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.1199 	EXP 	Rect: autoDraw = None
320.6211 	EXP 	Rect: autoDraw = None
320.7391 	EXP 	Rect: autoDraw = None
320.7884 	EXP 	Rect: autoDraw = None
321.2169 	DATA 	Keypress: space
321.2863 	EXP 	Rect: autoDraw = None
322.0827 	EXP 	New trial (rep=0, index=2): {u'target_side': u'none', u'target_time': 200, u'cue_side': u'right'}
322.1082 	EXP 	TextStim: autoDraw = None
322.1082 	EXP 	Rect: autoDraw = None
